,Date,DOY,U,Ta,RH min,ETo,hc,growth_stage,Rz,TAW,MAD,RAW,dMAD,Kcb_daily,Kcmax,TEW,REW,fc,few,Precip,Irr,Di_start,Kr,Ke,fewKcmax,Ks,Kco,KeETo,ETa,DP,Di_end,irrigate
27,2005-06-11,162,1.1,25.51,64.89,4.33,0.31,dev,0.41999999999999993,38.052,0.5,19.026,19.026,0.34558823529411764,1.1331582470534252,12,7,0.15488907759996529,0.8451109224000347,0.0,0.0,16.751126639891712,0.0,0.0,0.9576444113925265,1.0,0.34558823529411764,0.0,1.4963970588235294,0.0,18.24752369871524,not yet
28,2005-06-12,163,1.06,24.32,80.55,3.32,0.33,dev,0.42999999999999994,38.958000000000006,0.5,19.479000000000003,19.479000000000003,0.3735294117647059,1.0960008032208883,12,7,0.18623499566034724,0.8137650043396527,5.61,12.9,18.24752369871524,0.0,0.0,0.891887098389309,1.0,0.3735294117647059,0.0,1.2401176470588235,0.0,0.9776413457740656,not yet
29,2005-06-13,164,0.63,17.34,95.0,0.52,0.34,dev,0.43999999999999995,39.864000000000004,0.5,19.932000000000002,19.932000000000002,0.40147058823529413,1.0526196032296014,12,7,0.22419682114430275,0.7758031788556973,11.43,0.0,0.9776413457740656,1.0,0.6511490149943072,0.8166256343113475,1.0,1.0526196032296014,0.33859748779703974,0.5473621936793928,9.904996460546542,0.0,not yet
30,2005-06-14,165,2.01,23.14,70.0,4.84,0.36,dev,0.44999999999999996,40.77,0.5,20.385,20.385,0.4294117647058824,1.142389766411571,12,7,0.22412156432327424,0.7758784356767258,0.0,0.0,0.0,1.0,0.7129780017056886,0.8863555848965098,1.0,1.142389766411571,3.450813528255533,5.5291664694320035,0.0,5.5291664694320035,not yet
31,2005-06-15,166,1.41,24.72,59.17,4.84,0.38,dev,0.45999999999999996,41.67600000000001,0.5,20.838000000000005,20.838000000000005,0.45735294117647063,1.1535647635293265,12,7,0.244596052239146,0.7554039477608541,0.0,0.0,5.5291664694320035,1.0,0.6962118223528558,0.8714073763678694,1.0,1.1535647635293265,3.369665220187822,5.58325345548194,0.0,11.112419924913944,not yet
32,2005-06-16,167,2.8,25.67,57.66,5.86,0.4,dev,0.47,42.58200000000001,0.5,21.291000000000004,21.291000000000004,0.4852941176470589,1.1892183257621654,12,7,0.25731373292672244,0.7426862670732776,0.0,0.0,11.112419924913944,0.17751601501721126,0.12495782029873978,0.8832161190954355,1.0,0.6102519379457987,0.7322528269506151,3.5760763563623805,0.0,14.688496281276324,not yet
33,2005-06-17,168,1.17,24.79,48.67,5.1,0.41,dev,0.48,43.48800000000001,0.5,21.744000000000003,21.744000000000003,0.5132352941176471,1.1723054419255625,12,7,0.2873967670060385,0.7126032329939616,0.0,12.9,14.688496281276324,0.0,0.0,0.8353886479725707,1.0,0.5132352941176471,0.0,2.6175,0.0,4.405996281276325,not yet
34,2005-06-18,169,1.26,25.89,48.78,4.59,0.43,dev,0.49,44.39400000000001,0.5,22.197000000000006,22.197000000000006,0.5411764705882353,1.1741332364851953,12,7,0.3105630333120497,0.6894369666879503,0.0,0.0,4.405996281276325,1.0,0.63295676589696,0.8094908570498589,1.0,1.1741332364851953,2.9052715554670465,5.3892715554670465,0.0,9.79526783674337,not yet
35,2005-06-19,170,1.68,25.73,44.25,5.86,0.45,dev,0.5,45.30000000000001,0.5,22.650000000000006,22.650000000000006,0.5691176470588236,1.1943315232011384,12,7,0.32680185338732815,0.6731981466126719,0.0,0.0,9.79526783674337,0.4409464326513259,0.27568582832906163,0.8040217678600957,1.0,0.8448034753878852,1.6155189540083013,4.950548365773008,0.0,14.745816202516378,not yet
36,2005-06-20,171,1.26,25.33,45.9,5.35,0.47,dev,0.5099999999999999,46.206,0.5,23.103,23.103,0.5970588235294118,1.180796588803857,12,7,0.3563951188110459,0.6436048811889541,0.0,15.1,14.745816202516378,0.0,0.0,0.7599664482454287,1.0,0.5970588235294118,0.0,3.1942647058823526,0.0,2.840080908398731,not yet
